title,salary,url_endpoint,company_name,city,valid_till,hard_skills,soft_skills,minimum_experience_year,job_for_programmer,technologies
Senior IT Engineer within Data Management,4.400 - 6.600,/finansu-apskaitos-audito-darbai/senior-it-engineer-within-data-management-vilniuje-1-417752494,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-13,"Python,REST API calls,Scripting language,Linux cmdline,AWS CLI,AWS,automation,scripted deployment,CICD setups,Git,Data Management,Data Quality module,Terraform scripts,AWS environment,Automate setups and deployments","Good mentoring skills,Upper-Intermediate English language skills",5,1,"Python, REST API, Linux, AWS, Git, Terraform, CICD"
Senior Java Developer for Welcoming and Orchestration Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-java-developer-for-welcoming-and-orchestration-tribe-vilniuje-1-417592615,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-19,"Java development,Spring Boot,Microservices,REST APIs,Unit testing,Integration testing,Load testing,Message brokers (RabbitMQ),Distributed software,Cloud service providers (AWS),Docker,Container orchestration platform (OpenShift Kubernetes),Observability technologies (ELK stack Grafana Prometheus)","Problem-solving,Collaboration,Communication,Continual learning",,1,"Java, Spring Boot, MSSQL, RabbitMQ, AWS, Docker, OpenShift, Kubernetes, ELK stack, Grafana, Prometheus"
Senior Java Developer in Asset Finance Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-java-developer-in-asset-finance-tribe-vilniuje-1-418952389,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-16,"developing applications using Java,Spring Boot framework,databases such as MSSQL,containerization using Kubernetes and Docker,design principles,implementing microservices,REST APIs,experience with CI/CD tools and processes,solution design,architecture,modern development practices,define and implement standards,new technical direction,identify and participate in issue resolution and process refinement","leadership,collaboration,Upper-intermediate English skills",2,1,"Java, Spring Boot, MSSQL, Kubernetes, Docker, CI/CD tools"
Senior Java Engineer in Customer Engagement Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-java-engineer-in-customer-engagement-tribe-vilniuje-1-419351760,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-16,"Experience with Java (3+ years),Kotlin,Spring Boot,REST,Junit,MQ,Experience in building Cloud-Native solutions,using cloud infrastructure,Understanding of CI/CD principles,Ability to take ownership and responsibility,Ability to suggest technical solutions,Significant focus on code quality,Strong sense of ownership and responsibility","enthusiastic,excited about engineering,personal interest in IT,willingness to grow professionally,Upper- Intermediate English skills",3,1,"Java, Kotlin, Spring Boot, REST, Junit, MQ, Cloud-Native solutions, cloud infrastructure, AWS, Azure DevOps"
Senior Java Software Engineer in Credit Journey Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-java-software-engineer-in-credit-journey-tribe-vilniuje-1-419192287,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-19,"experience and good proficiency working with Java,frameworks such as Spring Boot,design development and test automation of cloud-native systems,take ownership and responsibility for supervising deliveries in a structured manner,establishing and improving engineering practices and developing teams’s competencies,experience with messaging systems such as Kafka MQ,knowledge of integration patterns and their implications","positive attitude,ability and motivation to learn,upper-intermediate English language skills",5,1,"Java, Spring Boot, cloud-native systems, Kafka, MQ"
Senior Java Software Engineer in Debt Management Development Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-java-software-engineer-in-debt-management-development-tribe-vilniuje-1-419322112,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-26,"Java applications development and infrastructure,IT architecture,solution design,Dev and Ops,agile setups","natural interest in knowing our solutions,challenging and fixing areas which could be improved,gain business and domain understanding,positive friendly attitude,eagerness to learn",5,1,"Java 17, Spring, MSSQL database, RabbitMQ, Docker, OpenShift, Azure"
Senior Mainframe Developer in Debt Management Development Tribe,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-mainframe-developer-in-debt-management-development-tribe-vilniuje-1-419441805,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-26,"Bachelor’s or higher degree in IT or related technical discipline,IBM Mainframe applications experience,Proficient in COBOL DB2 JCL OPC and MQ,CICS and PL/I experience,Advanced English language skills","“Can-do” attitude,attention to details,Focus on quality,enthusiasm to do things right,Ability to work both in team and individually",3,1,"COBOL, DB2, JCL, OPC, MQ, CICS, PL/I"
Senior Platform Engineer,3.354 - 5.032,/it-telekomunikaciju-darbai/senior-platform-engineer-vilniuje-1-419471214,Telia,Vilnius,2024-09-30,"IT infrastructure understanding,automation knowledge,Unix/Windows systems,databases,network,virtualization infrastructure,Kubernetes,IT Monitoring platforms,IT Logging platforms,DevOps toolkit,Containerization platforms,scripting for data processing and task automation,Fluent in Lithuanian and English","independent,trustworthy,team player,strong #Ownership characteristics,solution driven,analytical mindset",5,1,"Zabbix, Grafana LOKI, Prometheus, Datadog, ELK stack, Graylog, git, CI/CD, Terraform, OpenShift, Tanzu, Python"
Senior SRE Engineer,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-sre-engineer-vilniuje-1-419441630,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-16,"technical experience in designing and implementing cloud infrastructure solutions,Experience with Observability and Monitoring toolsets,Cross technical domain knowledge,Performance Engineering and optimization experience,Experience with Private and/or Public Cloud infrastructure,Knowledge of Agile software development principles and DevOps/SRE working principles","analytical,communication,interpersonal,Proactive mindset,Upper-Intermediate English skills",4,1,"Grafana, Prometheus, ELK Stack, OpenTelemetry, Tracing, TCP, Linux, Windows, Database"
Senior Service Reliability Engineer (SRE) in Observability and Toolset Engineering Team,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-service-reliability-engineer-sre-in-observability-and-toolset-vilniuje-1-419631965,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-20,"experience working in a Software Infrastructure or Observability Domain,Experience with Public Cloud infrastructure [AWS],Hands on experience with CI/CD DevOps methodologies,Experience with Observability and Monitoring toolsets (Grafana Prometheus OpenTelemetry Tracing etc.),Experience and working knowledge of some or all of the following: Chef Ansible GitHub OpenShift Containerization ADO (Azure DevOps) Argo-CD,Cross technical domain knowledge and willingness to expand depth and breadth of expertise in infrastructure and application domains","Solid proven analytical communication and interpersonal skills,Upper-intermediate English skills",5,1,"Public Cloud [AWS], CI/CD, DevOps, Observability and Monitoring toolsets (Grafana Prometheus OpenTelemetry Tracing etc.), Chef, Ansible, GitHub, OpenShift, Containerization, ADO (Azure DevOps), Argo-CD"
Senior Software Engineer (.NET) in FX Deal Capture,4.480 - 6.720,/finansu-apskaitos-audito-darbai/senior-software-engineer-net-@-fx-deal-capture-vilniuje-1-417970480,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-20,"4+ years of C# programming experience,SQL skills,Solid understanding of algorithms and data structures,API design,A good understanding of distributed system development,F# knowledge,skills in Docker and K8s","A collaborative mindset,good communication skills,Upper-Intermediate English language skills",4,1,"C#, F#, .NET Core, SQL Server, Rabbit MQ, Docker/K8s, Redis"
Senior Software Engineer for Markets Post-trade Services Tribe,4.400 - 6.600,/finansu-apskaitos-audito-darbai/senior-software-engineer-for-markets-post-trade-services-tribe-vilniuje-1-419597983,Danske Bank A/S Lietuvos filialas,Vilnius,2024-09-30,"C# developer,software modelling,engineering disciplines,object-oriented design principles","Willingness to learn and improve constantly,Positive attitude,Ability to work both in a team and individually,Advanced skills in English",5,1,C#
Senior Software Engineer in Advanced Security Engineering team,5.500 - 7.000,/klientu-aptarnavimo-paslaugu-darbai/senior-software-engineer-in-advanced-security-engineering-team-vilniuje-1-419100924,Alliance for Recruitment,Vilnius,2024-09-13,"Strong programming skills in JVM-based languages (Java),Familiarity with Java specific frameworks especially Spring,Experience with AWS services,Troubleshooting experience (JVM Cloud Services),Understanding of distributed storage platforms (Redis DynamoDB),Experience with data analytics and search engines (Elasticsearch Athena),Experience with CI/CD pipelines (Jenkins AWS CodePipeline),Experience with Agile Development Methodologies,Experience with IaC tools such as AWS CloudFormation and HashiCorp Terraform,Experience in systems monitoring and performance optimization,Experience in Secure SDLC,Experience in mentoring and/or coaching colleagues","Strong communication and collaboration skills in real and virtual setups,Documentation skills (processes diagrams technical designs),Passion for software development and engineering,Hands-on and can-do attitude,Documentation and technical writing skills",,1,"Java, Spring, AWS, JVM, Cloud Services, Redis, DynamoDB, Elasticsearch, Athena, Jenkins, AWS CodePipeline, AWS CloudFormation, HashiCorp Terraform"
